row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
433,"Cement masons, concrete finishers, and terrazzo workers",0,10.1,6,56
434,Construction laborers,0,7.5,192,2574
435,Construction equipment operators,0,6.3,27,431
436,"Drywall installers, ceiling tile installers, and tapers",0,4.8,6,129
437,Electricians,0,3,33,1096
438,Glaziers,0,–,1,33
439,Insulation workers,0,–,1,49
440,Painters and paperhangers,0,7.6,40,525
441,Pipelayers,0,–,3,49
442,"Plumbers, pipefitters, and steamfitters",0,3.1,20,644
443,Plasterers and stucco masons,0,–,2,29
444,Reinforcing iron and rebar workers,0,–,0,10
445,Roofers,0,5.7,16,274
446,Sheet metal workers,0,3.4,5,153
447,Structural iron and steel workers,0,–,5,47
448,Solar photovoltaic installers,0,–,0,23
449,"Helpers, construction trades",0,3.5,2,55
450,Construction and building inspectors,0,1.9,2,122
451,Elevator and escalator installers and repairers,0,–,0,34
452,Fence erectors,0,–,2,45
453,Hazardous materials removal workers,0,–,1,24
454,Highway maintenance workers,0,4,3,63
455,Rail-track laying and maintenance equipment operators,0,–,0,8
456,Septic tank servicers and sewer pipe cleaners,0,–,1,12
457,Miscellaneous construction and related workers,0,–,2,21
458,"Derrick, rotary drill, and service unit operators, oil and gas",0,–,1,22
459,"Excavating and loading machine and dragline operators, surface mining",0,–,0,4
460,"Earth drillers, except oil and gas",0,–,0,25
461,"Explosives workers, ordnance handling experts, and blasters",0,–,0,9
462,Underground mining machine operators,0,–,2,38
463,"Roustabouts, oil and gas",0,–,0,9
464,Other extraction workers,0,–,1,47
465,"Installation, maintenance, and repair occupations",0,3.2,169,5230
466,"First-line supervisors of mechanics, installers, and repairers",0,0.9,3,287
467,"Computer, automated teller, and office machine repairers",0,6.1,9,141
468,Radio and telecommunications equipment installers and repairers,0,5.5,8,148
469,Avionics technicians,0,–,0,14
470,"Electric motor, power tool, and related repairers",0,–,0,25
471,"Electrical and electronics installers and repairers, transportation equipment",0,–,0,5
472,"Electrical and electronics repairers, industrial and utility",0,–,1,11
473,"Electronic equipment installers and repairers, motor vehicles",0,–,0,13
474,Audiovisual equipment installers and repairers,0,–,0,43
475,Security and fire alarm systems installers,0,4,2,61
476,Aircraft mechanics and service technicians,0,3.5,6,171
477,Automotive body and related repairers,0,3.3,4,135
478,Automotive glass installers and repairers,0,–,1,26
479,Automotive service technicians and mechanics,0,2.8,26,927
480,Bus and truck mechanics and diesel engine specialists,0,1.3,5,374
481,Heavy vehicle and mobile equipment service technicians and mechanics,0,2,4,172
482,Small engine mechanics,0,–,0,42
